"gid","name","sequence"
"625","GJB2","121011.0014"
"626","GJB3","603324.0011"
"627","KCNQ1","192500.0013"
"628","TBC1D24","613577.0007"
"629","DLX5","600028.0001"
"630","SLITRK6","609681.0001"
"631","LHX3","600577.0001"
"632","TYROBP","604142.0001"
"633","TREM2","605086.0001"
"634","CSF1R","164770.0001"
"635","ATOH7","609875.0001"
"636","WFS1","222300.0001"
"637","LRP2","600073.0001"
"638","TTC37","614589.0001"
"639","SLC26A2","606718.0001"
"640","SLC7A7","603593.0001"
"641","DPYS","613326.0001"
"642","GNPAT","602744.0001"
"643","LCT","603202.0001"
"644","MCM6","601806.0001"
"645","DBH","609312.0002"
"646","FLJ90130","607461.0001"
"647","IKBKAP","603722.0001"
"648","VLDLR","192977.0001"
"649","SEC23B","610512.0001"
"650","CDAN1","607465.0001"
"651","NOLA3","606471.0001"
"652","HPCA","142622.0001"
"653","ORC1","601902.0001"
"654","WNT10A","606268.0002"
"655","EDAR","604095.0001"
"656","EDARADD","606603.0001"
"657","PVRL1","600644.0001"
"658","ADAMTSL4","610113.0001"
"659","ADAMTSL4","610113.0003"
"660","NKX2E","600584.0004"
"661","CDH3","114021.0003"
"662","WNT10B","601906.0001"
"663","COL1A2","120160.0045"
"664","PLOD","153454.0001"
"665","ADAMTS2","604539.0001"
"666","EVC","604831.0001"
"667","EVC2","607231.0001"
"668","TREX1","606609.0001"
"669","FLVCR2","610865.0001"
"670","COL7A1","120120.0001"
"671","COL17A2","113811.0001"
"672","LAMA3","600805.0003"
"673","LAMB3","150130.001"
"674","LAMC2","150292.0006"
"675","PLEC1","601282.0001"
"676","LAMA3","600805.0001"
"677","LAMB3","150310.0001"
"678","LAMC2","150292.0001"
"679","ITGB4","147557.0001"
"680","ITGA6","147556.0001"
"681","ROGDI","614574.0001"
"682","EIF2AK3","604032.0001"
"683","TWIST2","607556.0001"
"684","F5","612309.0004"
"685","F7","613878.0001"
"686","F10","613872.0001"
"687","FANCD2","613984.0001"
"688","FANCA","607139.0001"
"689","ASAH1","613468.0001"
"690","LHB","152780.0001"
"691","COL11A1","120280.0008"
"692","PDGFRB","173410.0003"
"693","ANTXR2","608041.0001"
"694","CDMP1","601146.0005"
"695","WNT7A","601570.0002"
"696","SLC46A1","611672.0001"
"697","FSHB","136530.0001"
"698","ZNF469","612078.0001"
"699","FXN","606829.0001"
"700","ALDOB","612724.0001"
"701","FBP1","611570.0001"
"702","KHK","614058.0001"
"703","FUCA1","230000.0001"
"704","GALK1","604313.0001"
"705","GALE","606953.0008"
"706","GALE","606953.0001"
"707","GALT","230400.0001"
"708","GCLC","606857.0001"
"709","GLB1","611458.0001"
"710","GLB","230500.0003"
"711","GLB1","230500.0004"
"712","ANTXR1","606410.0002"
"713","GBA","606463.0001"
"714","GBA","606643.0001"
"715","GBA","606463.0006"
"716","ADAMTSL2","612277.0001"
"717","GORAB","607893.0001"
"718","TBXAS1","274180.0001"
"719","GP1BA","606672.0001"
"720","GP1BB","138720.0001"
"721","GP9","173515.0001"
"722","CYP1B1","601771.0001"
"723","HAD","601609.0001"
"724","AAAS","605378.0001"
"725","GCDH","608801.0001"
"726","C7orf10","609187.0001"
"727","G6PC","613742.0001"
"728","G6PT1","602671.0001"
"729","GAA","606800.0002"
"730","AGL","610860.0001"
"731","GBE1","607839.0001"
"732","PYGM","608455.0001"
"733","PYGL","613741.0001"
"734","PFKM","610681.0001"
"735","SLC5A2","182381.0001"
"736","HSD17B4","601860.0008"
"737","RAG1","179615.0018"
"738","RAG2","179616.0009"
"739","CYBA","608508.0001"
"740","NCF1","608512.0001"
"741","NCF2","608515.0001"
"742","GCH1","600225.0017"
"743","MPLKIP","609188.0001"
"744","PANK2","607157.0001"
"745","SLC6A19","608893.0001"
"746","PEX1","602136.0006"
"747","EIF2AK4","609280.0001"
"748","HFE","613609.0001"
"749","CHF","134370.0001"
"750","CFHR1","134371.0001"
"751","CFHR3","605366.0001"
"752","CCBE1","612753.0001"
"753","AKR1D1","604741.0001"
"754","HK1","142600.0001"
"755","ZEB2","605802.0001"
"756","HAL","609457.0001"
"757","CBS","613381.0001"
"758","MTHFR","607093.0001"
"759","MTRR","602568.0001"
"760","CCDC88C","611204.0001"
"761","POMT1","607423.0001"
"762","HYLS1","610693.0001"
"763","MKKS","604896.0001"
"764","HPSE2","613469.0001"
"765","L2HGDH","609584.0001"
